logged_at,symbol,kind,dimension,weight,score,live
2026-07-27,LUPIN,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-27,LUPIN,BUY CANDIDATE,rs_and_stage,20.0,0.73,True
2026-07-27,LUPIN,BUY CANDIDATE,smart_money,12.0,0.502,True
2026-07-27,LUPIN,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-27,LUPIN,BUY CANDIDATE,valuation_sanity,5.0,0.95,True
2026-07-27,NAM-INDIA,BUY CANDIDATE,catalyst,10.0,0.1,True
2026-07-27,NAM-INDIA,BUY CANDIDATE,earnings_inflection,20.0,0.551,True
2026-07-27,NAM-INDIA,BUY CANDIDATE,financial_strength_trend,10.0,0.5,True
2026-07-27,NAM-INDIA,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-27,NAM-INDIA,BUY CANDIDATE,rs_and_stage,20.0,0.785,True
2026-07-27,NAM-INDIA,BUY CANDIDATE,smart_money,12.0,0.822,True
2026-07-27,NAM-INDIA,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-27,NAM-INDIA,BUY CANDIDATE,valuation_sanity,5.0,0.7,True
2026-07-27,NUVAMA,RE-ENTRY WINDOW,catalyst,10.0,0.267,True
2026-07-27,NUVAMA,RE-ENTRY WINDOW,earnings_inflection,20.0,0.377,True
2026-07-27,NUVAMA,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.5,True
2026-07-27,NUVAMA,RE-ENTRY WINDOW,governance,8.0,0.05,True
2026-07-27,NUVAMA,RE-ENTRY WINDOW,rs_and_stage,20.0,0.782,True
2026-07-27,NUVAMA,RE-ENTRY WINDOW,smart_money,12.0,1.0,True
2026-07-27,NUVAMA,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-27,NUVAMA,RE-ENTRY WINDOW,valuation_sanity,5.0,0.95,True
2026-07-27,PRUDENT,BUY CANDIDATE,catalyst,10.0,0.267,True
2026-07-27,PRUDENT,BUY CANDIDATE,earnings_inflection,20.0,0.462,True
2026-07-27,PRUDENT,BUY CANDIDATE,financial_strength_trend,10.0,0.5,True
2026-07-27,PRUDENT,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-27,PRUDENT,BUY CANDIDATE,rs_and_stage,20.0,0.723,True
2026-07-27,PRUDENT,BUY CANDIDATE,smart_money,12.0,0.485,True
2026-07-27,PRUDENT,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-27,PRUDENT,BUY CANDIDATE,valuation_sanity,5.0,0.45,True
2026-07-27,RBLBANK,BUY CANDIDATE,catalyst,10.0,0.267,True
2026-07-27,RBLBANK,BUY CANDIDATE,earnings_inflection,20.0,0.706,True
2026-07-27,RBLBANK,BUY CANDIDATE,financial_strength_trend,10.0,0.5,True
2026-07-27,RBLBANK,BUY CANDIDATE,governance,8.0,0.95,True
2026-07-27,RBLBANK,BUY CANDIDATE,rs_and_stage,20.0,0.768,True
2026-07-27,RBLBANK,BUY CANDIDATE,smart_money,12.0,0.0,True
2026-07-27,RBLBANK,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-27,RBLBANK,BUY CANDIDATE,valuation_sanity,5.0,0.25,True
2026-07-27,RKFORGE,BUY CANDIDATE,catalyst,10.0,0.6,True
2026-07-27,RKFORGE,BUY CANDIDATE,earnings_inflection,20.0,0.54,True
2026-07-27,RKFORGE,BUY CANDIDATE,financial_strength_trend,10.0,0.423,True
2026-07-27,RKFORGE,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-27,RKFORGE,BUY CANDIDATE,rs_and_stage,20.0,0.721,True
2026-07-27,RKFORGE,BUY CANDIDATE,smart_money,12.0,0.385,True
2026-07-27,RKFORGE,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-27,RKFORGE,BUY CANDIDATE,valuation_sanity,5.0,0.05,True
2026-07-27,VIJAYA,BUY CANDIDATE,catalyst,10.0,0.167,True
2026-07-27,VIJAYA,BUY CANDIDATE,earnings_inflection,20.0,0.607,True
2026-07-27,VIJAYA,BUY CANDIDATE,financial_strength_trend,10.0,0.503,True
2026-07-27,VIJAYA,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-27,VIJAYA,BUY CANDIDATE,rs_and_stage,20.0,0.798,True
2026-07-27,VIJAYA,BUY CANDIDATE,smart_money,12.0,0.442,True
2026-07-27,VIJAYA,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-27,VIJAYA,BUY CANDIDATE,valuation_sanity,5.0,0.25,True
2026-07-28,CAPLIPOINT,BUY CANDIDATE,catalyst,10.0,0.095,True
2026-07-28,CAPLIPOINT,BUY CANDIDATE,earnings_inflection,20.0,0.525,True
2026-07-28,CAPLIPOINT,BUY CANDIDATE,financial_strength_trend,10.0,0.96,True
2026-07-28,CAPLIPOINT,BUY CANDIDATE,governance,8.0,0.7,True
2026-07-28,CAPLIPOINT,BUY CANDIDATE,rs_and_stage,20.0,0.797,True
2026-07-28,CAPLIPOINT,BUY CANDIDATE,smart_money,12.0,0.44,True
