symbol,company,industry,index_source,market_cap_cr_at_add,turnover_cr_at_add
MANINDS,Man Industries (India) Limited,,nse_gap,4628.0,37.59
AGI,AGI Greenpac Limited,,nse_gap,4594.0,6.9
SGFIN,SG Finserve Limited,,nse_gap,4576.0,15.25
NRBBEARING,NRB Bearing Limited,,nse_gap,4567.0,15.19
EMUDHRA,eMudhra Limited,,nse_gap,4482.0,6.74
HIRECT,Hirect Limited,,nse_gap,4480.0,7.59
GUJTHEM,Gujarat Themis Biosyn Limited,,nse_gap,4478.0,6.81
NORTHARC,Northern Arc Capital Limited,,nse_gap,4474.0,18.01
MHRIL,Mahindra Holidays & Resorts India Limited,,nse_gap,4472.0,1.9
RAMRAT,Ram Ratna Wires Limited,,nse_gap,4454.0,13.32
SHOPERSTOP,Shoppers Stop Limited,,nse_gap,4395.0,1.6
DHANUKA,Dhanuka Agritech Limited,,nse_gap,4377.0,1.96
GOODLUCK,Goodluck India Limited,,nse_gap,4373.0,31.25
RPGLIFE,RPG Life Sciences Limited,,nse_gap,4361.0,2.56
GUFICBIO,Gufic Biosciences Limited,,nse_gap,4327.0,4.14
SWARAJENG,Swaraj Engines Limited,,nse_gap,4320.0,1.81
VISHNU,Vishnu Chemicals Limited,,nse_gap,4249.0,5.28
SYMPHONY,Symphony Limited,,nse_gap,4206.0,3.39
INDOSTAR,IndoStar Capital Finance Limited,,nse_gap,4201.0,2.76
SANGHVIMOV,Sanghvi Movers Limited,,nse_gap,4200.0,18.2
AVANTEL,Avantel Limited,,nse_gap,4172.0,9.86
KOLTEPATIL,Kolte - Patil Developers Limited,,nse_gap,4155.0,5.4
FOSECOIND,Foseco India Limited,,nse_gap,4138.0,3.55
RESPONIND,Responsive Industries Limited,,nse_gap,4132.0,1.3
RAYMOND,Raymond Limited,,nse_gap,4094.0,28.8
WSTCSTPAPR,West Coast Paper Mills Limited,,nse_gap,4084.0,10.03
MAHLOG,Mahindra Logistics Limited,,nse_gap,4081.0,5.5
ROSSTECH,Rossell Techsys Limited,,nse_gap,4047.0,21.5
TFCILTD,Tourism Finance Corporation of India Limited,,nse_gap,4040.0,156.43
MOSCHIP,Moschip Technologies Limited,,nse_gap,4026.0,23.27
SEAMECLTD,Seamec Limited,,nse_gap,4016.0,12.5
HARSHA,Harsha Engineers International Limited,,nse_gap,3984.0,5.46
PITTIENG,Pitti Engineering Limited,,nse_gap,3962.0,9.39
NACLIND,NACL Industries Limited,,nse_gap,3914.0,6.69
MANINFRA,Man Infraconstruction Limited,,nse_gap,3903.0,25.24
ORIENTELEC,Orient Electric Limited,,nse_gap,3885.0,3.46
RAYMONDREL,Raymond Realty Limited,,nse_gap,3847.0,18.89
JKIL,J.Kumar Infraprojects Limited,,nse_gap,3831.0,3.52
KIRLOSIND,Kirloskar Industries Limited,,nse_gap,3825.0,1.54
SANATHAN,Sanathan Textiles Limited,,nse_gap,3823.0,1.99
KSL,Kalyani Steels Limited,,nse_gap,3810.0,3.9
SANDHAR,Sandhar Technologies Limited,,nse_gap,3803.0,12.13
