symbol,company,series,arm,last_close,market_cap_cr,median_turnover_cr,min_turnover_cr,median_trades,median_volume,band_pct,circuit_days,circuit_frac,sessions_seen,sessions_traded,listing_date,listing_age_days,in_index_universe,mcap_pending,last_date,as_of,built_at
STANLEY,Stanley Lifestyles Limited,EQ,mcap,135.11,788.0,1.057,0.438,1508.0,76185.0,20.0,0,0.0,25,25,2024-06-28,815.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
JAGRAN,Jagran Prakashan Limited,EQ,price,62.53,1337.0,1.04,0.531,2040.0,169560.0,20.0,0,0.0,25,25,2006-02-22,7516.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
CSLFINANCE,CSL Finance Limited,EQ,mcap,220.46,503.0,1.032,0.28,982.0,46180.0,20.0,0,0.0,25,25,2022-07-21,1523.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
OMAXAUTO,Omax Autos Limited,EQ,mcap,191.43,379.0,1.03,0.341,1211.0,54186.0,10.0,0,0.0,25,25,2003-02-20,8614.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SILGO,Silgo Retail Limited,EQ,price+mcap,70.02,224.0,1.007,0.081,817.0,136582.0,20.0,0,0.0,25,25,2021-03-03,2028.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
GICHSGFIN,GIC Housing Finance Limited,EQ,mcap,139.28,733.0,1.005,0.348,1344.0,73159.0,20.0,0,0.0,25,25,1996-05-08,11093.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SHANKARA,Shankara Building Products Limited,EQ,mcap,147.46,359.0,0.999,0.419,546.0,67386.0,20.0,0,0.0,25,25,2017-04-05,3456.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
MAXIND,Max India Limited,EQ,mcap,152.0,825.0,0.98,0.376,1229.0,64212.0,20.0,0,0.0,25,25,2020-08-28,2215.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
TPLPLASTEH,TPL Plastech Limited,EQ,price+mcap,65.03,508.0,0.953,0.725,1276.0,131082.0,20.0,0,0.0,25,25,2015-05-20,4142.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
DCMSRIND,DCM Shriram Industries Limited,EQ,price+mcap,38.1,333.0,0.943,0.494,1700.0,241420.0,20.0,0,0.0,25,25,2021-12-24,1732.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
KMSUGAR,K.M.Sugar Mills Limited,EQ,price+mcap,28.69,263.0,0.933,0.298,1849.0,302618.0,20.0,0,0.0,25,25,2007-05-31,7053.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ADSL,Allied Digital Services Limited,EQ,price+mcap,96.94,561.0,0.919,0.548,1795.0,85703.0,20.0,0,0.0,25,25,2007-07-25,6998.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
DOLATALGO,Dolat Algotech Limited,EQ,price,66.79,1220.0,0.917,0.47,1368.0,128937.0,20.0,0,0.0,25,25,2024-01-12,983.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
KUANTUM,Kuantum Papers Limited,EQ,price+mcap,80.74,657.0,0.898,0.375,1729.0,117403.0,20.0,0,0.0,25,25,2019-10-23,2525.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
MANBA,Manba Finance Limited,EQ,mcap,136.73,665.0,0.897,0.349,748.0,69031.0,20.0,0,0.0,25,25,2024-09-30,721.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,EQ,price+mcap,49.55,488.0,0.897,0.335,1401.0,163630.0,20.0,0,0.0,25,25,2020-10-30,2152.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ANUHPHR,Anuh Pharma Limited,EQ,price+mcap,93.66,933.0,0.894,0.157,1815.0,95805.0,20.0,0,0.0,25,25,2024-12-20,640.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
REMSONSIND,Remsons Industries Limited,EQ,price+mcap,96.02,322.0,0.886,0.367,2681.0,91799.0,20.0,0,0.0,25,25,1996-01-31,11191.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
LIKHITHA,Likhitha Infrastructure Limited,EQ,mcap,218.6,856.0,0.841,0.419,1007.0,40046.0,20.0,0,0.0,25,25,2020-10-15,2167.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
GOKUL,Gokul Refoils and Solvent Limited,EQ,price+mcap,39.56,392.0,0.788,0.519,1277.0,182713.0,20.0,0,0.0,25,25,2008-06-04,6683.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ONWARDTEC,Onward Technologies Limited,EQ,mcap,290.05,643.0,0.779,0.398,904.0,27299.0,20.0,0,0.0,25,25,2001-03-07,9329.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
KSOLVES,Ksolves India Limited,EQ,mcap,252.15,617.0,0.739,0.306,1403.0,28119.0,20.0,0,0.0,25,25,2022-09-23,1459.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
DEN,Den Networks Limited,EQ,price,26.42,1258.0,0.73,0.192,1311.0,269174.0,20.0,0,0.0,25,25,2009-11-24,6145.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SATIA,Satia Industries Limited,EQ,price+mcap,67.68,680.0,0.727,0.207,1435.0,109637.0,20.0,0,0.0,25,25,2019-07-17,2623.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
MEDICO,Medico Remedies Limited,EQ,price+mcap,34.06,295.0,0.714,0.209,1596.0,177622.0,20.0,0,0.0,25,25,2022-05-26,1579.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SCILAL,Shipping Corporation of India Land and Assets Limited,EQ,price,38.23,1769.0,0.71,0.417,1347.0,182150.0,20.0,0,0.0,25,25,2024-03-19,916.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
VASCONEQ,Vascon Engineers Limited,EQ,price+mcap,32.18,679.0,0.706,0.432,1064.0,234374.0,20.0,0,0.0,25,25,2010-02-15,6062.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
KANPRPLA,Kanpur Plastipack Limited,EQ,mcap,254.8,650.0,0.703,0.271,1371.0,27577.0,20.0,0,0.0,25,25,2021-01-01,2089.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
KOTHARIPET,Kothari Petrochemicals Limited,EQ,mcap,136.05,842.0,0.688,0.308,1199.0,52559.0,20.0,0,0.0,25,25,1996-11-02,10915.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
NCLIND,NCL Industries Limited,EQ,mcap,175.68,792.0,0.668,0.204,2611.0,38438.0,20.0,0,0.0,25,25,2007-04-03,7111.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
TERASOFT,Tera Software Limited,EQ,mcap,248.65,311.0,0.665,0.336,1174.0,24003.0,20.0,0,0.0,25,25,2016-12-29,3553.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
UNIDT,United Drilling Tools Limited,EQ,mcap,222.44,447.0,0.664,0.298,741.0,29288.0,20.0,0,0.0,5,5,2020-09-25,2187.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
