symbol,company,series,last_close,market_cap_cr,median_turnover_cr,median_trades,band_pct,gsm_stage,asm,exclude_reason,mcap_pending
EMPOWER,Empower India Limited,EQ,2.12,,0.941,1818.0,5.0,,,"5% circuit band — cannot exit on bad news; price Rs2.12 below the Rs5 floor (tick size ~1% of price; the spread eats the edge); listed 130d ago — under a year of history, no trend to read",False
GATECH,GACM Technologies Limited,BE,0.62,,0.936,1348.5,5.0,,,series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news; price Rs0.62 below the Rs5 floor (tick size ~1% of price; the spread eats the edge); closed at circuit on 62% of sessions — a stop cannot fill in a locked market,False
HDFCMID150,,,23.79,,0.928,1310.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
TRANSPEK,Transpek Industry Limited,BE,1232.6,,0.92,1307.0,5.0,,,"series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news; listed 130d ago — under a year of history, no trend to read; closed at circuit on 27% of sessions — a stop cannot fill in a locked market",False
INFRAIETF,,,94.79,,0.92,3458.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
SHALBY,Shalby Limited,EQ,154.65,1671.0,0.914,1387.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SENSEXIETF,,,886.26,,0.911,390.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
NIF100BEES,,,267.89,,0.902,686.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
HAWKINCOOK,Hawkins Cookers Limited,EQ,8230.0,,0.898,488.0,20.0,,,"listed 130d ago — under a year of history, no trend to read",False
MATRIMONY,Matrimony.Com Limited,EQ,515.0,1067.0,0.897,824.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
THEMISMED,Themis Medicare Limited,EQ,125.48,1163.0,0.882,1297.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SIKKO,Sikko Industries Limited,BE,6.11,,0.871,1152.0,5.0,,,series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news,False
DCMSRIND,DCM Shriram Industries Limited,EQ,46.98,367.0,0.86,1543.0,20.0,,ST Stage I,"ASM ST Stage I — surveillance: 100% margin, no intraday, no pledging",False
ENERGY,,,38.23,,0.844,982.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
KAYA,Kaya Limited,BE,367.35,,0.844,917.0,5.0,,,series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news,False
IFGLEXPOR,IFGL Refractories Limited,EQ,215.47,1556.0,0.842,1464.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,EQ,1126.9,1373.0,0.842,915.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
FINIETF,,,33.26,,0.838,1225.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
LOWVOL1,,,21.29,,0.837,174.0,20.0,,,"not in the NSE equity master (ETF / REIT / InvIT — not a company); only 174 trades/day median — one operator's book, not a market",False
INDIQUBE,Indiqube Spaces Limited,EQ,192.36,4065.0,0.836,1335.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
NILE,Nile Limited,EQ,1487.4,,0.831,813.0,20.0,,,"listed 130d ago — under a year of history, no trend to read",False
OAL,Oriental Aromatics Limited,EQ,487.8,1642.0,0.822,692.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SHANTIGEAR,Shanthi Gears Limited,EQ,517.75,,0.814,1045.0,10.0,,ST Stage I,"ASM ST Stage I — surveillance: 100% margin, no intraday, no pledging",False
HALDER,Halder Venture Limited,EQ,294.99,,0.793,330.0,20.0,,,"listed 221d ago — under a year of history, no trend to read",False
TNIDETF,,,91.78,,0.791,588.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
ESSENTIA,Integra Essentia Limited,EQ,1.08,,0.788,1214.0,5.0,,,5% circuit band — cannot exit on bad news; price Rs1.08 below the Rs5 floor (tick size ~1% of price; the spread eats the edge),False
MAJESAUT,Majestic Auto Limited,BE,495.45,,0.787,982.0,5.0,,,"series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news; listed 130d ago — under a year of history, no trend to read",False
INFRABEES,,,955.87,,0.784,573.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
MANBRO,Manbro Industries Limited,EQ,59.64,,0.777,692.5,10.0,,,"listed 11d ago — under a year of history, no trend to read",False
