[304/651] ok    GODFRYPHLP (1856 rows)
[305/651] ok    GODREJIND (1856 rows)
[306/651] ok    GODREJPROP (1856 rows)
[307/651] ok    FLUOROCHEM (1665 rows)
[308/651] ok    HDBFS (251 rows)
[309/651] ok    HAVELLS (1856 rows)
[310/651] ok    HEROMOTOCO (1856 rows)
[311/651] ok    HEXT (338 rows)
[312/651] ok    HINDPETRO (1856 rows)
[313/651] ok    POWERINDIA (1552 rows)
[314/651] ok    HONAUT (1854 rows)
[315/651] ok    HUDCO (1856 rows)
[316/651] ok    ICICIGI (1856 rows)
[317/651] ok    ICICIAMC (134 rows)
[318/651] ok    ICICIPRULI (1856 rows)
[319/651] ok    IDFCFIRSTB (1856 rows)
[320/651] ok    ITCHOTELS (354 rows)
[321/651] ok    INDIANB (1856 rows)
[322/651] ok    IRCTC (1667 rows)
[324/651] ok    INDUSTOWER (1856 rows)
[325/651] ok    INDUSINDBK (1856 rows)
[326/651] ok    NAUKRI (1856 rows)
[327/651] ok    IPCALAB (1855 rows)
[328/651] ok    JKCEMENT (1856 rows)
[329/651] ok    JSWENERGY (1856 rows)
[330/651] ok    JSWINFRA (681 rows)
[331/651] ok    JSL (1856 rows)
[332/651] ok    JUBLFOOD (1856 rows)
[333/651] ok    KPRMILL (1856 rows)
[334/651] ok    KEI (1856 rows)
[335/651] ok    KPITTECH (1783 rows)
[336/651] ok    KALYANKJIL (1304 rows)
[337/651] ok    LTF (1856 rows)
[338/651] ok    LTTS (1856 rows)
[339/651] ok    LGEINDIA (180 rows)
[340/651] ok    LICHSGFIN (1856 rows)
[341/651] ok    LAURUSLABS (1856 rows)
[342/651] ok    LENSKART (163 rows)
[343/651] ok    LICI (1024 rows)
[344/651] ok    LINDEINDIA (1855 rows)
[345/651] ok    LLOYDSME (734 rows)
[346/651] ok    LUPIN (1856 rows)
[347/651] ok    MRF (1855 rows)
[348/651] ok    M&MFIN (1856 rows)
[349/651] ok    MANKIND (781 rows)
[350/651] ok    MARICO (1856 rows)
[351/651] ok    MFSL (1856 rows)
[352/651] ok    MOTILALOFS (1856 rows)
[353/651] ok    MPHASIS (1856 rows)
[354/651] ok    MCX (1856 rows)
[355/651] ok    NHPC (1856 rows)
[356/651] ok    NLCINDIA (1856 rows)
[357/651] ok    NMDC (1856 rows)
[358/651] ok    NTPCGREEN (399 rows)
[359/651] ok    NATIONALUM (1856 rows)
[360/651] ok    NAM-INDIA (1856 rows)
[361/651] ok    OBEROIRLTY (1855 rows)
[362/651] ok    OIL (1856 rows)
[363/651] ok    PAYTM (1145 rows)
[364/651] ok    OFSS (1856 rows)
[365/651] ok    POLICYBZR (1147 rows)
[366/651] ok    PIIND (1856 rows)
[367/651] ok    PAGEIND (1854 rows)
[368/651] ok    PATANJALI (1856 rows)
[369/651] ok    PERSISTENT (1856 rows)
[370/651] ok    PETRONET (1856 rows)
[371/651] ok    PHOENIXLTD (1854 rows)
[372/651] ok    POLYCAB (1785 rows)
[373/651] ok    PREMIERENE (457 rows)
[374/651] ok    PRESTIGE (1856 rows)
[375/651] ok    RADICO (1855 rows)
[376/651] ok    RVNL (1788 rows)
[377/651] ok    SBICARD (1562 rows)
[378/651] ok    SJVN (1856 rows)
[379/651] ok    SRF (1856 rows)
[380/651] ok    SCHAEFFLER (1856 rows)
[381/651] ok    SAIL (1856 rows)
[382/651] ok    SUNDARMFIN (1856 rows)
[383/651] ok    SUPREMEIND (1856 rows)
[385/651] ok    SWIGGY (407 rows)
[386/651] ok    TATACOMM (1856 rows)
[387/651] ok    TATAELXSI (1856 rows)
[388/651] ok    TATAINVEST (1856 rows)
[389/651] ok    NIACL (1856 rows)
[390/651] ok    THERMAX (1855 rows)
[391/651] ok    TORNTPOWER (1856 rows)
[392/651] ok    TIINDIA (1856 rows)
[393/651] ok    UNOMINDA (1856 rows)
[394/651] ok    UPL (1856 rows)
[395/651] ok    UBL (1856 rows)
[396/651] ok    VMM (384 rows)
