symbol,company,score,coverage_pct,vetoed,assessed,veto_reasons,archetypes,arm,close,tag,rs_pctile,tt_checks,pct_below_52w_high,run_3m_pct,vol_expansion,ep,market_cap_cr,median_turnover_cr,median_trades,band_pct,circuit_frac,in_index_universe,atr,stop_suggested,stop_basis,risk_flags,tier,rank
GEOJITFSL,Geojit Financial Services Limited,53.2,100.0,False,True,,,price,82.72000122070312,WATCH,83.4,7,4.4,12.0,1.19,False,2309.0,2.71,3661.0,20.0,0.0,False,2.77,75.8,2.5xATR (8% wide),promoter sold 13.3 pts in 4 quarters,0,67
CSLFINANCE,CSL Finance Limited,53.2,100.0,False,True,,,mcap,251.7700042724609,ANTICIPATION,45.7,4,22.5,13.1,1.61,False,522.0,0.775,527.0,20.0,0.0,False,8.21,231.25,2.5xATR (8% wide),,0,68
JAGRAN,Jagran Prakashan Limited,52.8,100.0,False,True,,Deleveraging,price,60.97999954223633,BROKEN,42.7,1,22.7,-4.8,0.4,False,1331.0,1.147,2078.0,20.0,0.0,False,0.76,59.08,2.5xATR (3% wide),,0,69
CENTEXT,Century Extrusions Limited,52.5,100.0,False,True,,,price+mcap,20.190000534057617,BROKEN,62.1,0,41.9,3.3,1.78,False,162.0,0.592,1160.0,20.0,0.0,False,1.19,17.22,2.5xATR (15% wide),,0,70
GICHSGFIN,GIC Housing Finance Limited,52.2,100.0,False,True,,,mcap,140.4499969482422,BROKEN,33.7,1,23.7,-6.6,0.8,False,744.0,1.197,1294.0,20.0,0.0,False,3.5,131.7,2.5xATR (6% wide),,0,71
BCG,Brightcom Group Limited,52.0,100.0,False,True,,Hyper-growth,price,8.979999542236328,BROKEN,11.6,0,45.2,-16.3,0.88,False,1834.0,4.223,4402.0,20.0,0.0,False,0.21,8.45,2.5xATR (6% wide),Rs9.0 share price — the tick alone is 0.1% of the price,0,72
20MICRONS,20 Microns Limited,52.0,100.0,False,True,,,mcap,222.4900054931641,WATCH,77.4,6,6.5,18.5,0.75,False,792.0,3.082,3600.0,20.0,0.0,False,9.54,198.64,2.5xATR (11% wide),,0,73
NAVKARCORP,Navkar Corporation Limited,51.9,100.0,False,True,,,price,96.23999786376952,WATCH,51.3,1,27.4,-1.5,0.3,False,1462.0,2.216,2091.0,20.0,0.0,False,2.16,90.84,2.5xATR (6% wide),,0,74
MEDICO,Medico Remedies Limited,51.7,100.0,False,True,,Hyper-growth,price+mcap,39.869998931884766,BROKEN,52.5,1,29.9,-8.2,1.13,False,353.0,1.288,1336.0,20.0,0.0,False,2.19,34.39,2.5xATR (14% wide),,0,75
KSOLVES,Ksolves India Limited,51.0,100.0,False,True,,,mcap,272.04998779296875,WATCH,36.2,1,23.1,-1.7,0.34,False,645.0,0.756,1294.0,20.0,0.0,False,8.35,251.17,2.5xATR (8% wide),,0,76
