date,equity
2022-06-14,1649356.0010910882
2022-06-15,1654563.263404931
2022-06-16,1635500.2758561028
2022-06-17,1626017.0103836907
2022-06-20,1616172.6633225335
2022-06-21,1613479.7026749505
2022-06-22,1617655.7254410638
2022-06-23,1623057.5490189446
2022-06-24,1630640.233375634
2022-06-27,1633866.8805619134
2022-06-28,1637731.5134507073
2022-06-29,1628801.4531937493
2022-06-30,1624275.8274002923
2022-07-01,1630148.653450097
2022-07-04,1632802.9498368157
2022-07-05,1632002.4355851067
2022-07-06,1631003.9056626214
2022-07-07,1632890.7276535882
2022-07-08,1627321.0526200188
2022-07-11,1632374.059168219
2022-07-12,1624455.543253302
2022-07-13,1629254.286463141
2022-07-14,1627964.0326179261
2022-07-15,1617876.7851966615
2022-07-18,1621412.1742194886
2022-07-19,1619280.4475044007
2022-07-20,1619891.6940711732
2022-07-21,1620519.953485846
2022-07-22,1619415.1916221376
2022-07-25,1617737.3067191835
2022-07-26,1608521.7925437684
2022-07-27,1612321.3406242128
2022-07-28,1623625.2960075135
2022-07-29,1619523.9849723575
2022-08-01,1618861.9735893009
2022-08-02,1618173.5913653541
2022-08-03,1616163.9007220436
2022-08-04,1611689.262019651
2022-08-05,1615430.0047793556
2022-08-08,1623259.4887118507
2022-08-10,1619671.846408384
2022-08-11,1614112.74294235
2022-08-12,1615560.2308039833
2022-08-16,1616730.7765307594
2022-08-17,1603749.0092539955
2022-08-18,1607248.3657412697
2022-08-19,1597332.3915400673
2022-08-22,1585141.7153669933
2022-08-23,1590337.955883656
2022-08-24,1598293.687058125
2022-08-25,1609019.7486921886
2022-08-26,1613000.2863585094
2022-08-29,1607707.7872168163
2022-08-30,1609998.3958593945
2022-09-01,1610238.7102896313
2022-09-02,1616966.4687506298
2022-09-05,1626770.142601643
2022-09-06,1620856.98588625
2022-09-07,1626672.757004414
2022-09-08,1635911.1392141918
2022-09-09,1629446.5061422924
2022-09-12,1629056.7282148937
2022-09-13,1629737.364376698
2022-09-14,1632795.9052549938
2022-09-15,1644244.4919935802
2022-09-16,1625047.6885147942
2022-09-19,1616650.6795115639
2022-09-20,1634938.5020622013
2022-09-21,1636658.8710464237
2022-09-22,1636139.4747021026
2022-09-23,1615261.9310924835
2022-09-26,1580299.1718265838
2022-09-27,1583886.2543270416
2022-09-28,1576748.4744999236
2022-09-29,1584372.4619266815
2022-09-30,1608113.6892902679
2022-10-03,1603091.009248001
2022-10-04,1614485.3739063567
2022-10-06,1626180.822629196
2022-10-07,1631658.5054752654
2022-10-10,1639167.0483448333
2022-10-11,1634403.7275516815
2022-10-12,1633665.8178951568
2022-10-13,1629795.47196315
2022-10-14,1628889.715863449
2022-10-17,1626894.953099472
2022-10-18,1632214.1962978668
2022-10-19,1640436.1623775787
2022-10-20,1643264.0642804587
