symbol,industry,index_source,turnover_cr,rs_blend_raw,rs_improving,stage,last_close,rs_pctile,tag
WELENT,Construction,microcap250,22.55,1.34,False,2,598.7999877929688,80.37459283387622,WATCH
HINDCOPPER,Metals & Mining,smallcap250,149.41,1.34,False,1,483.1499938964844,80.37459283387622,WATCH
AEGISVOPAK,Oil Gas & Consumable Fuels,smallcap250,96.95,1.338,True,3,292.6400146484375,80.04885993485343,WATCH
QUESS,Services,microcap250,17.56,1.338,True,2,295.3999938964844,80.04885993485343,EXTENDED
MINDACORP,Automobile and Auto Components,smallcap250,22.62,1.335,False,2,676.4500122070312,79.80456026058633,WATCH
SOUTHBANK,Financial Services,microcap250,102.91,1.33,True,2,46.52000045776367,79.64169381107492,CONFIRMED
KIRLPNU,Capital Goods,microcap250,41.76,1.327,False,2,1497.0999755859375,79.47882736156352,WATCH
AIAENG,Capital Goods,midcap150,42.39,1.325,False,2,4583.0,79.23452768729642,CONFIRMED
MARKSANS,Healthcare,microcap250,52.07,1.325,False,2,246.3000030517578,79.23452768729642,WATCH
ABCAPITAL,Financial Services,midcap150,160.41,1.323,False,2,393.8500061035156,78.99022801302932,CONFIRMED
AARTIIND,Chemicals,smallcap250,41.7,1.322,False,2,477.7999877929688,78.82736156351791,CONFIRMED
EXIDEIND,Automobile and Auto Components,midcap150,216.8,1.321,False,2,443.0,78.66449511400651,EXTENDED
SHYAMMETL,Capital Goods,smallcap250,64.19,1.319,False,2,1027.449951171875,78.50162866449512,CONFIRMED
LALPATHLAB,Healthcare,smallcap250,62.6,1.318,False,2,1759.199951171875,78.33876221498372,WATCH
KIMS,Healthcare,smallcap250,43.32,1.316,False,2,797.8499755859375,78.17589576547232,CONFIRMED
TIPSMUSIC,Media Entertainment & Publication,microcap250,84.95,1.314,False,2,699.4500122070312,78.0130293159609,CONFIRMED
ELGIEQUIP,Capital Goods,smallcap250,20.01,1.311,False,2,577.2999877929688,77.85016286644951,WATCH
AXISCADES,Capital Goods,microcap250,45.65,1.306,False,1,1608.0,77.52442996742671,WATCH
GRINDWELL,Capital Goods,microcap250,28.43,1.306,False,2,2011.5999755859373,77.52442996742671,WATCH
CARBORUNIV,Capital Goods,smallcap250,17.59,1.306,False,2,1064.300048828125,77.52442996742671,WATCH
MSTCLTD,Services,microcap250,49.08,1.305,True,2,607.2000122070312,77.19869706840392,WATCH
PREMIERENE,Capital Goods,midcap150,137.33,1.297,False,2,1019.2999877929688,77.0358306188925,WATCH
USHAMART,Capital Goods,smallcap250,22.47,1.295,False,2,495.7000122070313,76.8729641693811,CONFIRMED
METROPOLIS,Healthcare,microcap250,17.86,1.294,False,2,570.25,76.71009771986971,CONFIRMED
SAMMAANCAP,Financial Services,smallcap250,215.44,1.292,False,2,160.63999938964844,76.46579804560261,WATCH
ABSLAMC,Financial Services,smallcap250,46.48,1.292,False,2,1017.0,76.46579804560261,WATCH
SHAREINDIA,Financial Services,microcap250,155.68,1.288,False,3,191.57000732421875,76.2214983713355,WATCH
LTF,Financial Services,midcap150,255.89,1.286,False,3,302.3999938964844,76.0586319218241,WATCH
MANAPPURAM,Financial Services,smallcap250,137.76,1.285,True,2,352.95001220703125,75.814332247557,CONFIRMED
