symbol,company,industry,index_source
ANTHEM,Anthem Biosciences Ltd.,Healthcare,midcap150
APARINDS,Apar Industries Ltd.,Capital Goods,midcap150
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,midcap150
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,midcap150
ASTRAL,Astral Ltd.,Capital Goods,midcap150
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,midcap150
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,midcap150
BSE,BSE Ltd.,Financial Services,midcap150
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,midcap150
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,midcap150
BANKINDIA,Bank of India,Financial Services,midcap150
MAHABANK,Bank of Maharashtra,Financial Services,midcap150
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,midcap150
BDL,Bharat Dynamics Ltd.,Capital Goods,midcap150
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,midcap150
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,midcap150
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,midcap150
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,midcap150
BIOCON,Biocon Ltd.,Healthcare,midcap150
BLUESTARCO,Blue Star Ltd.,Consumer Durables,midcap150
CRISIL,CRISIL Ltd.,Financial Services,midcap150
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,midcap150
COFORGE,Coforge Ltd.,Information Technology,midcap150
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,midcap150
CONCOR,Container Corporation of India Ltd.,Services,midcap150
COROMANDEL,Coromandel International Ltd.,Chemicals,midcap150
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,midcap150
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,midcap150
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,midcap150
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,midcap150
ESCORTS,Escorts Kubota Ltd.,Capital Goods,midcap150
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,midcap150
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,midcap150
FEDERALBNK,Federal Bank Ltd.,Financial Services,midcap150
FORTIS,Fortis Healthcare Ltd.,Healthcare,midcap150
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,midcap150
GMRAIRPORT,GMR Airports Ltd.,Services,midcap150
GICRE,General Insurance Corporation of India,Financial Services,midcap150
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,midcap150
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,midcap150
MEDANTA,Global Health Ltd.,Healthcare,midcap150
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,midcap150
GODREJIND,Godrej Industries Ltd.,Diversified,midcap150
GODREJPROP,Godrej Properties Ltd.,Realty,midcap150
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,midcap150
HDBFS,HDB Financial Services Ltd.,Financial Services,midcap150
HAVELLS,Havells India Ltd.,Consumer Durables,midcap150
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,midcap150
HEXT,Hexaware Technologies Ltd.,Information Technology,midcap150
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,midcap150
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,midcap150
HONAUT,Honeywell Automation India Ltd.,Capital Goods,midcap150
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,midcap150
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,midcap150
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,midcap150
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,midcap150
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,midcap150
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,midcap150
INDIANB,Indian Bank,Financial Services,midcap150
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,midcap150
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,midcap150
INDUSTOWER,Indus Towers Ltd.,Telecommunication,midcap150
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,midcap150
NAUKRI,Info Edge (India) Ltd.,Consumer Services,midcap150
IPCALAB,Ipca Laboratories Ltd.,Healthcare,midcap150
JKCEMENT,J.K. Cement Ltd.,Construction Materials,midcap150
JSWENERGY,JSW Energy Ltd.,Power,midcap150
JSWINFRA,JSW Infrastructure Ltd.,Services,midcap150
JSL,Jindal Stainless Ltd.,Metals & Mining,midcap150
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,midcap150
KPRMILL,K.P.R. Mill Ltd.,Textiles,midcap150
KEI,KEI Industries Ltd.,Capital Goods,midcap150
KPITTECH,KPIT Technologies Ltd.,Information Technology,midcap150
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,midcap150
LTF,L&T Finance Ltd.,Financial Services,midcap150
LTTS,L&T Technology Services Ltd.,Information Technology,midcap150
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,midcap150
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,midcap150
LAURUSLABS,Laurus Labs Ltd.,Healthcare,midcap150
LENSKART,Lenskart Solutions Ltd.,Consumer Services,midcap150
LICI,Life Insurance Corporation of India,Financial Services,midcap150
LINDEINDIA,Linde India Ltd.,Chemicals,midcap150
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,midcap150
LUPIN,Lupin Ltd.,Healthcare,midcap150
MRF,MRF Ltd.,Automobile and Auto Components,midcap150
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,midcap150
MANKIND,Mankind Pharma Ltd.,Healthcare,midcap150
MARICO,Marico Ltd.,Fast Moving Consumer Goods,midcap150
MFSL,Max Financial Services Ltd.,Financial Services,midcap150
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,midcap150
MPHASIS,MphasiS Ltd.,Information Technology,midcap150
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,midcap150
NHPC,NHPC Ltd.,Power,midcap150
NLCINDIA,NLC India Ltd.,Power,midcap150
NMDC,NMDC Ltd.,Metals & Mining,midcap150
NTPCGREEN,NTPC Green Energy Ltd.,Power,midcap150
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,midcap150
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,midcap150
OBEROIRLTY,Oberoi Realty Ltd.,Realty,midcap150
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,midcap150
PAYTM,One 97 Communications Ltd.,Financial Services,midcap150
OFSS,Oracle Financial Services Software Ltd.,Information Technology,midcap150
POLICYBZR,PB Fintech Ltd.,Financial Services,midcap150
PIIND,PI Industries Ltd.,Chemicals,midcap150
PAGEIND,Page Industries Ltd.,Textiles,midcap150
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,midcap150
PERSISTENT,Persistent Systems Ltd.,Information Technology,midcap150
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,midcap150
PHOENIXLTD,Phoenix Mills Ltd.,Realty,midcap150
POLYCAB,Polycab India Ltd.,Capital Goods,midcap150
PREMIERENE,Premier Energies Ltd.,Capital Goods,midcap150
PRESTIGE,Prestige Estates Projects Ltd.,Realty,midcap150
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,midcap150
RVNL,Rail Vikas Nigam Ltd.,Construction,midcap150
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,midcap150
SJVN,SJVN Ltd.,Power,midcap150
SRF,SRF Ltd.,Chemicals,midcap150
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,midcap150
SAIL,Steel Authority of India Ltd.,Metals & Mining,midcap150
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,midcap150
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,midcap150
SUZLON,Suzlon Energy Ltd.,Capital Goods,midcap150
SWIGGY,Swiggy Ltd.,Consumer Services,midcap150
TATACOMM,Tata Communications Ltd.,Telecommunication,midcap150
TATAELXSI,Tata Elxsi Ltd.,Information Technology,midcap150
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,midcap150
NIACL,The New India Assurance Company Ltd.,Financial Services,midcap150
THERMAX,Thermax Ltd.,Capital Goods,midcap150
TORNTPOWER,Torrent Power Ltd.,Power,midcap150
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,midcap150
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,midcap150
UPL,UPL Ltd.,Chemicals,midcap150
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,midcap150
VMM,Vishal Mega Mart Ltd.,Consumer Services,midcap150
IDEA,Vodafone Idea Ltd.,Telecommunication,midcap150
VOLTAS,Voltas Ltd.,Consumer Durables,midcap150
WAAREEENER,Waaree Energies Ltd.,Capital Goods,midcap150
YESBANK,Yes Bank Ltd.,Financial Services,midcap150
ASKAUTOLTD,ASK Automotive Ltd.,Automobile and Auto Components,microcap250
AXISCADES,AXISCADES Technologies Ltd.,Capital Goods,microcap250
AARTIDRUGS,Aarti Drugs Ltd.,Healthcare,microcap250
AARTIPHARM,Aarti Pharmalabs Ltd.,Healthcare,microcap250
AVL,Aditya Vision Ltd.,Consumer Services,microcap250
ADVENZYMES,Advanced Enzyme Tech Ltd.,Healthcare,microcap250
AEQUS,Aequs Ltd.,Capital Goods,microcap250
AETHER,Aether Industries Ltd.,Chemicals,microcap250
